t(c)	theta_c(grad)
12.810	83.871
12.820	83.871
12.830	83.871
12.840	83.872
12.850	83.872
12.860	83.872
12.870	83.872
12.880	83.872
12.890	83.873
12.900	83.873
12.910	83.873
12.920	83.873
12.930	83.874
12.940	83.874
12.950	83.874
12.960	83.874
12.970	83.874
12.980	83.875
12.990	83.875
13.000	83.875
13.010	83.875
13.020	83.875
13.030	83.876
13.040	83.876
13.050	83.876
13.060	83.876
13.070	83.876
13.080	83.877
13.090	83.877
13.100	83.877
13.110	83.877
13.120	83.877
13.130	83.878
13.140	83.878
13.150	83.878
13.160	83.878
13.170	83.879
13.180	83.879
13.190	83.879
13.200	83.879
13.210	83.879
13.220	83.880
13.230	83.880
13.240	83.880
13.250	83.880
13.260	83.880
13.270	83.881
13.280	83.881
13.290	83.881
13.300	83.881
13.310	83.881
13.320	83.882
13.330	83.882
13.340	83.882
13.350	83.882
13.360	83.883
13.370	83.883
13.380	83.883
13.390	83.883
13.400	83.883
13.410	83.884
13.420	83.884
13.430	83.884
13.440	83.884
13.450	83.884
13.460	83.885
13.470	83.885
13.480	83.885
13.490	83.885
13.500	83.885
13.510	83.886
13.520	83.886
13.530	83.886
13.540	83.886
13.550	83.887
13.560	83.887
13.570	83.887
13.580	83.887
13.590	83.887
13.600	83.888
13.610	83.888
13.620	83.888
13.630	83.888
13.640	83.888
13.650	83.889
13.660	83.889
13.670	83.889
13.680	83.889
13.690	83.889
13.700	83.890
13.710	83.890
13.720	83.890
13.730	83.890
13.740	83.891
13.750	83.891
13.760	83.891
13.770	83.891
13.780	83.891
13.790	83.892
13.800	83.892
13.810	83.892
13.820	83.892
13.830	83.892
13.840	83.893
13.850	83.893
13.860	83.893
13.870	83.893
13.880	83.894
13.890	83.894
13.900	83.894
13.910	83.894
13.920	83.894
13.930	83.895
13.940	83.895
13.950	83.895
13.960	83.895
13.970	83.895
13.980	83.896
13.990	83.896
14.000	83.896
14.010	83.896
14.020	83.896
14.030	83.897
14.040	83.897
14.050	83.897
14.060	83.897
14.070	83.898
14.080	83.898
14.090	83.898
14.100	83.898
14.110	83.898
14.120	83.899
14.130	83.899
14.140	83.899
14.150	83.899
14.160	83.899
14.170	83.900
14.180	83.900
14.190	83.900
14.200	83.900
14.210	83.901
14.220	83.901
14.230	83.901
14.240	83.901
14.250	83.901
14.260	83.902
14.270	83.902
14.280	83.902
14.290	83.902
14.300	83.902
14.310	83.903
14.320	83.903
14.330	83.903
14.340	83.903
14.350	83.904
14.360	83.904
14.370	83.904
14.380	83.904
14.390	83.904
14.400	83.905
14.410	83.905
14.420	83.905
14.430	83.905
14.440	83.905
14.450	83.906
14.460	83.906
14.470	83.906
14.480	83.906
14.490	83.906
14.500	83.907
14.510	83.907
14.520	83.907
14.530	83.907
14.540	83.908
14.550	83.908
14.560	83.908
14.570	83.908
14.580	83.908
14.590	83.909
14.600	83.909
14.610	83.909
14.620	83.909
14.630	83.909
14.640	83.910
14.650	83.910
14.660	83.910
14.670	83.910
14.680	83.911
14.690	83.911
14.700	83.911
14.710	83.911
14.720	83.911
14.730	83.912
14.740	83.912
14.750	83.912
14.760	83.912
14.770	83.912
14.780	83.913
14.790	83.913
14.800	83.913
14.810	83.913
14.820	83.914
14.830	83.914
14.840	83.914
14.850	83.914
14.860	83.914
14.870	83.915
14.880	83.915
14.890	83.915
14.900	83.915
14.910	83.915
14.920	83.916
14.930	83.916
14.940	83.916
14.950	83.916
14.960	83.917
14.970	83.917
14.980	83.917
14.990	83.917
15.000	83.917
15.010	83.918
15.020	83.918
15.030	83.918
15.040	83.918
15.050	83.918
15.060	83.919
15.070	83.919
15.080	83.919
15.090	83.919
15.100	83.920
15.110	83.920
15.120	83.920
15.130	83.920
15.140	83.920
15.150	83.921
15.160	83.921
15.170	83.921
15.180	83.921
15.190	83.922
15.200	83.922
15.210	83.922
15.220	83.922
15.230	83.922
15.240	83.923
15.250	83.923
15.260	83.923
15.270	83.923
15.280	83.923
15.290	83.924
15.300	83.924
15.310	83.924
15.320	83.924
15.330	83.925
15.340	83.925
15.350	83.925
15.360	83.925
15.370	83.925
15.380	83.926
15.390	83.926
15.400	83.926
15.410	83.926
15.420	83.926
15.430	83.927
15.440	83.927
15.450	83.927
15.460	83.927
15.470	83.928
15.480	83.928
15.490	83.928
15.500	83.928
15.510	83.928
15.520	83.929
15.530	83.929
15.540	83.929
15.550	83.929
15.560	83.929
15.570	83.930
15.580	83.930
15.590	83.930
15.600	83.930
15.610	83.931
15.620	83.931
15.630	83.931
15.640	83.931
15.650	83.931
15.660	83.932
15.670	83.932
15.680	83.932
15.690	83.932
15.700	83.932
15.710	83.933
15.720	83.933
15.730	83.933
15.740	83.933
15.750	83.934
15.760	83.934
15.770	83.934
15.780	83.934
15.790	83.934
15.800	83.935
15.810	83.935
15.820	83.935
15.830	83.935
15.840	83.936
15.850	83.936
15.860	83.936
15.870	83.936
15.880	83.936
15.890	83.937
15.900	83.937
15.910	83.937
15.920	83.937
15.930	83.937
15.940	83.938
15.950	83.938
15.960	83.938
