t(c)	V(m/s)
1.497	62.959
1.498	62.995
1.499	63.031
1.500	63.067
1.501	63.103
1.502	63.139
1.503	63.174
1.504	63.210
1.505	63.246
1.506	63.282
1.507	63.318
1.508	63.354
1.509	63.390
1.510	63.426
1.511	63.461
1.512	63.497
1.513	63.533
1.514	63.569
1.515	63.605
1.516	63.641
1.517	63.677
1.518	63.713
1.519	63.749
1.520	63.784
1.521	63.820
1.522	63.856
1.523	63.892
1.524	63.928
1.525	63.964
1.526	64.000
1.527	64.036
1.528	64.072
1.529	64.107
1.530	64.143
1.531	64.179
1.532	64.215
1.533	64.251
1.534	64.287
1.535	64.323
1.536	64.359
1.537	64.395
1.538	64.430
1.539	64.466
1.540	64.502
1.541	64.538
1.542	64.574
1.543	64.610
1.544	64.646
1.545	64.682
1.546	64.718
1.547	64.754
1.548	64.789
1.549	64.825
1.550	64.861
1.551	64.897
1.552	64.933
1.553	64.969
1.554	65.005
1.555	65.041
1.556	65.077
1.557	65.113
1.558	65.149
1.559	65.184
1.560	65.220
1.561	65.256
1.562	65.292
1.563	65.328
1.564	65.364
1.565	65.400
1.566	65.436
1.567	65.472
1.568	65.508
1.569	65.544
1.570	65.579
1.571	65.615
1.572	65.651
1.573	65.687
1.574	65.723
1.575	65.759
1.576	65.795
1.577	65.831
1.578	65.867
1.579	65.903
1.580	65.939
1.581	65.975
1.582	66.011
1.583	66.046
1.584	66.082
1.585	66.118
1.586	66.154
1.587	66.190
1.588	66.226
1.589	66.262
1.590	66.298
1.591	66.334
1.592	66.370
1.593	66.406
1.594	66.442
1.595	66.478
1.596	66.514
1.597	66.549
1.598	66.585
1.599	66.621
1.600	66.657
1.601	66.693
1.602	66.729
1.603	66.765
1.604	66.801
1.605	66.837
1.606	66.873
1.607	66.909
1.608	66.945
1.609	66.981
1.610	67.017
1.611	67.053
1.612	67.089
1.613	67.125
1.614	67.160
1.615	67.196
1.616	67.232
1.617	67.268
1.618	67.304
1.619	67.340
1.620	67.376
1.621	67.412
1.622	67.448
1.623	67.484
1.624	67.520
1.625	67.556
1.626	67.592
1.627	67.628
1.628	67.664
1.629	67.700
1.630	67.736
1.631	67.772
1.632	67.808
1.633	67.844
1.634	67.879
1.635	67.915
1.636	67.951
1.637	67.987
1.638	68.023
1.639	68.059
1.640	68.095
1.641	68.131
1.642	68.167
1.643	68.203
1.644	68.239
1.645	68.275
1.646	68.311
1.647	68.347
1.648	68.383
1.649	68.419
1.650	68.455
1.651	68.491
1.652	68.527
1.653	68.563
1.654	68.599
1.655	68.635
1.656	68.671
1.657	68.707
1.658	68.743
1.659	68.779
1.660	68.815
1.661	68.851
1.662	68.886
1.663	68.922
1.664	68.958
1.665	68.994
1.666	69.030
1.667	69.066
1.668	69.102
1.669	69.138
1.670	69.174
1.671	69.210
1.672	69.246
1.673	69.282
1.674	69.318
1.675	69.354
1.676	69.390
1.677	69.426
1.678	69.462
1.679	69.498
1.680	69.534
1.681	69.570
1.682	69.606
1.683	69.642
1.684	69.678
1.685	69.714
1.686	69.750
1.687	69.786
1.688	69.822
1.689	69.858
1.690	69.894
1.691	69.930
1.692	69.966
1.693	70.002
1.694	70.038
1.695	70.074
1.696	70.110
1.697	70.146
1.698	70.182
1.699	70.218
1.700	70.254
1.701	70.290
1.702	70.326
1.703	70.362
1.704	70.398
1.705	70.434
1.706	70.470
1.707	70.506
1.708	70.542
1.709	70.578
1.710	70.614
1.711	70.650
1.712	70.686
1.713	70.722
1.714	70.758
1.715	70.794
1.716	70.830
1.717	70.866
1.718	70.902
1.719	70.938
1.720	70.974
1.721	71.010
