t(c)	x(m)
1.219	4.72
1.220	4.72
1.221	4.73
1.222	4.74
1.223	4.75
1.224	4.75
1.225	4.76
1.226	4.77
1.227	4.78
1.228	4.78
1.229	4.79
1.230	4.80
1.231	4.81
1.232	4.81
1.233	4.82
1.234	4.83
1.235	4.84
1.236	4.84
1.237	4.85
1.238	4.86
1.239	4.87
1.240	4.87
1.241	4.88
1.242	4.89
1.243	4.90
1.244	4.90
1.245	4.91
1.246	4.92
1.247	4.93
1.248	4.93
1.249	4.94
1.250	4.95
1.251	4.96
1.252	4.96
1.253	4.97
1.254	4.98
1.255	4.99
1.256	4.99
1.257	5.00
1.258	5.01
1.259	5.02
1.260	5.02
1.261	5.03
1.262	5.04
1.263	5.05
1.264	5.05
1.265	5.06
1.266	5.07
1.267	5.08
1.268	5.08
1.269	5.09
1.270	5.10
1.271	5.11
1.272	5.12
1.273	5.12
1.274	5.13
1.275	5.14
1.276	5.15
1.277	5.15
1.278	5.16
1.279	5.17
1.280	5.18
1.281	5.18
1.282	5.19
1.283	5.20
1.284	5.21
1.285	5.22
1.286	5.22
1.287	5.23
1.288	5.24
1.289	5.25
1.290	5.25
1.291	5.26
1.292	5.27
1.293	5.28
1.294	5.29
1.295	5.29
1.296	5.30
1.297	5.31
1.298	5.32
1.299	5.32
1.300	5.33
1.301	5.34
1.302	5.35
1.303	5.36
1.304	5.36
1.305	5.37
1.306	5.38
1.307	5.39
1.308	5.40
1.309	5.40
1.310	5.41
1.311	5.42
1.312	5.43
1.313	5.43
1.314	5.44
1.315	5.45
1.316	5.46
1.317	5.47
1.318	5.47
1.319	5.48
1.320	5.49
1.321	5.50
1.322	5.51
1.323	5.51
1.324	5.52
1.325	5.53
1.326	5.54
1.327	5.55
1.328	5.55
1.329	5.56
1.330	5.57
1.331	5.58
1.332	5.59
1.333	5.59
1.334	5.60
1.335	5.61
1.336	5.62
1.337	5.63
1.338	5.64
1.339	5.64
1.340	5.65
1.341	5.66
1.342	5.67
1.343	5.68
1.344	5.68
1.345	5.69
1.346	5.70
1.347	5.71
1.348	5.72
1.349	5.72
1.350	5.73
1.351	5.74
1.352	5.75
1.353	5.76
1.354	5.77
1.355	5.77
1.356	5.78
1.357	5.79
1.358	5.80
1.359	5.81
1.360	5.81
1.361	5.82
1.362	5.83
1.363	5.84
1.364	5.85
1.365	5.86
1.366	5.86
1.367	5.87
1.368	5.88
1.369	5.89
1.370	5.90
1.371	5.91
1.372	5.91
1.373	5.92
1.374	5.93
1.375	5.94
1.376	5.95
1.377	5.96
1.378	5.96
1.379	5.97
1.380	5.98
1.381	5.99
1.382	6.00
1.383	6.01
1.384	6.01
1.385	6.02
1.386	6.03
1.387	6.04
1.388	6.05
1.389	6.06
1.390	6.06
1.391	6.07
1.392	6.08
1.393	6.09
1.394	6.10
1.395	6.11
1.396	6.12
1.397	6.12
1.398	6.13
1.399	6.14
1.400	6.15
1.401	6.16
1.402	6.17
1.403	6.17
1.404	6.18
1.405	6.19
1.406	6.20
1.407	6.21
1.408	6.22
1.409	6.23
1.410	6.23
1.411	6.24
1.412	6.25
1.413	6.26
1.414	6.27
1.415	6.28
1.416	6.29
1.417	6.29
1.418	6.30
1.419	6.31
1.420	6.32
1.421	6.33
1.422	6.34
1.423	6.35
1.424	6.35
1.425	6.36
1.426	6.37
1.427	6.38
1.428	6.39
1.429	6.40
1.430	6.41
1.431	6.42
1.432	6.42
1.433	6.43
1.434	6.44
1.435	6.45
1.436	6.46
1.437	6.47
1.438	6.48
1.439	6.49
1.440	6.49
1.441	6.50
1.442	6.51
1.443	6.52
1.444	6.53
1.445	6.54
1.446	6.55
1.447	6.56
1.448	6.56
1.449	6.57
1.450	6.58
1.451	6.59
1.452	6.60
1.453	6.61
1.454	6.62
1.455	6.63
1.456	6.63
1.457	6.64
