t(c)	x(m)
9.610	358.84
9.620	359.65
9.630	360.46
9.640	361.27
9.650	362.09
9.660	362.90
9.670	363.72
9.680	364.54
9.690	365.36
9.700	366.18
9.710	367.00
9.720	367.82
9.730	368.64
9.740	369.46
9.750	370.29
9.760	371.11
9.770	371.94
9.780	372.77
9.790	373.59
9.800	374.42
9.810	375.25
9.820	376.08
9.830	376.91
9.840	377.75
9.850	378.58
9.860	379.41
9.870	380.25
9.880	381.08
9.890	381.92
9.900	382.76
9.910	383.60
9.920	384.44
9.930	385.28
9.940	386.12
9.950	386.96
9.960	387.81
9.970	388.65
9.980	389.50
9.990	390.34
10.000	391.19
10.010	392.04
10.020	392.89
10.030	393.74
10.040	394.59
10.050	395.44
10.060	396.29
10.070	397.15
10.080	398.00
10.090	398.86
10.100	399.72
10.110	400.57
10.120	401.43
10.130	402.29
10.140	403.15
10.150	404.01
10.160	404.87
10.170	405.74
10.180	406.60
10.190	407.47
10.200	408.33
10.210	409.20
10.220	410.07
10.230	410.94
10.240	411.81
10.250	412.68
10.260	413.55
10.270	414.42
10.280	415.29
10.290	416.17
10.300	417.04
10.310	417.92
10.320	418.80
10.330	419.67
10.340	420.55
10.350	421.43
10.360	422.31
10.370	423.20
10.380	424.08
10.390	424.96
10.400	425.85
10.410	426.73
10.420	427.62
10.430	428.51
10.440	429.39
10.450	430.28
10.460	431.17
10.470	432.07
10.480	432.96
10.490	433.85
10.500	434.74
10.510	435.64
10.520	436.54
10.530	437.43
10.540	438.33
10.550	439.23
10.560	440.13
10.570	441.03
10.580	441.93
10.590	442.83
10.600	443.74
10.610	444.64
10.620	445.55
10.630	446.45
10.640	447.36
10.650	448.27
10.660	449.18
10.670	450.09
10.680	451.00
10.690	451.91
10.700	452.82
10.710	453.73
10.720	454.65
10.730	455.56
10.740	456.48
10.750	457.40
10.760	458.32
10.770	459.24
10.780	460.16
10.790	461.08
10.800	462.00
10.810	462.92
10.820	463.85
10.830	464.77
10.840	465.70
10.850	466.62
10.860	467.55
10.870	468.48
10.880	469.41
10.890	470.34
10.900	471.27
10.910	472.21
10.920	473.14
10.930	474.07
10.940	475.01
10.950	475.95
10.960	476.88
10.970	477.82
10.980	478.76
10.990	479.70
11.000	480.64
11.010	481.58
11.020	482.53
11.030	483.47
11.040	484.41
11.050	485.36
11.060	486.31
11.070	487.25
11.080	488.20
11.090	489.15
11.100	490.10
11.110	491.05
11.120	492.01
11.130	492.96
11.140	493.92
11.150	494.87
11.160	495.83
11.170	496.78
11.180	497.74
11.190	498.70
11.200	499.66
11.210	500.62
11.220	501.58
11.230	502.55
11.240	503.51
11.250	504.47
11.260	505.44
11.270	506.41
11.280	507.37
