t(c)	y(m)
12.680	2973.10
12.690	2977.53
12.700	2981.96
12.710	2986.39
12.720	2990.83
12.730	2995.27
12.740	2999.71
12.750	3004.16
12.760	3008.61
12.770	3013.06
12.780	3017.51
12.790	3021.97
12.800	3026.43
12.810	3030.89
12.820	3035.36
12.830	3039.83
12.840	3044.30
12.850	3048.77
12.860	3053.25
12.870	3057.73
12.880	3062.22
12.890	3066.70
12.900	3071.19
12.910	3075.69
12.920	3080.18
12.930	3084.68
12.940	3089.18
12.950	3093.68
12.960	3098.19
12.970	3102.70
12.980	3107.21
12.990	3111.73
13.000	3116.25
13.010	3120.77
13.020	3125.30
13.030	3129.82
13.040	3134.35
13.050	3138.89
13.060	3143.42
13.070	3147.96
13.080	3152.51
13.090	3157.05
13.100	3161.60
13.110	3166.15
13.120	3170.70
13.130	3175.26
13.140	3179.82
13.150	3184.38
13.160	3188.95
13.170	3193.52
13.180	3198.09
13.190	3202.67
13.200	3207.24
13.210	3211.82
13.220	3216.41
13.230	3220.99
13.240	3225.58
13.250	3230.17
13.260	3234.77
13.270	3239.37
13.280	3243.97
13.290	3248.57
13.300	3253.18
13.310	3257.79
13.320	3262.40
13.330	3267.02
13.340	3271.63
13.350	3276.26
13.360	3280.88
13.370	3285.51
13.380	3290.14
13.390	3294.77
13.400	3299.41
13.410	3304.04
13.420	3308.69
13.430	3313.33
13.440	3317.98
13.450	3322.63
13.460	3327.28
13.470	3331.94
13.480	3336.60
13.490	3341.26
13.500	3345.93
13.510	3350.59
13.520	3355.27
13.530	3359.94
13.540	3364.62
13.550	3369.30
13.560	3373.98
13.570	3378.66
13.580	3383.35
13.590	3388.04
13.600	3392.74
13.610	3397.44
13.620	3402.14
13.630	3406.84
13.640	3411.55
13.650	3416.25
13.660	3420.97
13.670	3425.68
13.680	3430.40
13.690	3435.12
13.700	3439.84
13.710	3444.57
13.720	3449.30
13.730	3454.03
13.740	3458.77
13.750	3463.51
13.760	3468.25
13.770	3472.99
13.780	3477.74
13.790	3482.49
13.800	3487.24
13.810	3492.00
13.820	3496.76
13.830	3501.52
13.840	3506.28
13.850	3511.05
13.860	3515.82
13.870	3520.59
13.880	3525.37
13.890	3530.15
13.900	3534.93
13.910	3539.72
13.920	3544.50
13.930	3549.29
13.940	3554.09
13.950	3558.88
13.960	3563.68
13.970	3568.49
13.980	3573.29
13.990	3578.10
14.000	3582.91
14.010	3587.73
14.020	3592.54
14.030	3597.36
14.040	3602.19
14.050	3607.01
14.060	3611.84
14.070	3616.67
14.080	3621.51
14.090	3626.35
14.100	3631.19
14.110	3636.03
14.120	3640.88
14.130	3645.73
14.140	3650.58
14.150	3655.43
14.160	3660.29
14.170	3665.15
14.180	3670.02
14.190	3674.88
14.200	3679.75
14.210	3684.63
14.220	3689.50
14.230	3694.38
14.240	3699.26
14.250	3704.15
14.260	3709.03
14.270	3713.92
14.280	3718.82
14.290	3723.71
14.300	3728.61
14.310	3733.51
14.320	3738.42
14.330	3743.33
14.340	3748.24
14.350	3753.15
14.360	3758.07
14.370	3762.99
14.380	3767.91
14.390	3772.83
14.400	3777.76
14.410	3782.69
14.420	3787.63
14.430	3792.57
14.440	3797.51
14.450	3802.45
14.460	3807.39
14.470	3812.34
14.480	3817.30
14.490	3822.25
14.500	3827.21
14.510	3832.17
14.520	3837.13
14.530	3842.10
14.540	3847.07
14.550	3852.04
14.560	3857.01
14.570	3861.99
14.580	3866.97
14.590	3871.96
14.600	3876.94
14.610	3881.93
14.620	3886.93
14.630	3891.92
14.640	3896.92
14.650	3901.92
14.660	3906.93
14.670	3911.93
14.680	3916.94
14.690	3921.96
14.700	3926.97
14.710	3931.99
14.720	3937.02
14.730	3942.04
14.740	3947.07
14.750	3952.10
14.760	3957.13
14.770	3962.17
14.780	3967.21
14.790	3972.25
14.800	3977.30
14.810	3982.35
14.820	3987.40
14.830	3992.45
14.840	3997.51
14.850	4002.57
14.860	4007.63
14.870	4012.70
14.880	4017.77
14.890	4022.84
14.900	4027.91
14.910	4032.99
14.920	4038.07
14.930	4043.16
14.940	4048.24
14.950	4053.33
14.960	4058.43
14.970	4063.52
14.980	4068.62
14.990	4073.72
15.000	4078.82
15.010	4083.93
15.020	4089.04
15.030	4094.15
15.040	4099.27
15.050	4104.39
15.060	4109.51
15.070	4114.64
15.080	4119.76
15.090	4124.89
15.100	4130.03
15.110	4135.17
15.120	4140.30
15.130	4145.45
15.140	4150.59
15.150	4155.74
15.160	4160.89
15.170	4166.05
15.180	4171.20
15.190	4176.36
15.200	4181.53
15.210	4186.69
15.220	4191.86
15.230	4197.03
15.240	4202.21
15.250	4207.39
15.260	4212.57
15.270	4217.75
15.280	4222.94
15.290	4228.13
15.300	4233.32
15.310	4238.51
15.320	4243.71
15.330	4248.91
15.340	4254.12
15.350	4259.33
15.360	4264.54
15.370	4269.75
15.380	4274.97
15.390	4280.18
15.400	4285.41
15.410	4290.63
15.420	4295.86
15.430	4301.09
15.440	4306.32
15.450	4311.56
15.460	4316.80
15.470	4322.04
15.480	4327.29
15.490	4332.54
15.500	4337.79
15.510	4343.04
15.520	4348.30
15.530	4353.56
15.540	4358.82
15.550	4364.09
15.560	4369.36
15.570	4374.63
15.580	4379.91
15.590	4385.19
15.600	4390.47
15.610	4395.75
15.620	4401.04
15.630	4406.33
15.640	4411.62
15.650	4416.92
15.660	4422.22
15.670	4427.52
15.680	4432.82
15.690	4438.13
15.700	4443.44
15.710	4448.75
15.720	4454.07
15.730	4459.39
15.740	4464.71
15.750	4470.04
15.760	4475.37
15.770	4480.70
15.780	4486.03
15.790	4491.37
15.800	4496.71
15.810	4502.05
15.820	4507.40
15.830	4512.75
15.840	4518.10
15.850	4523.46
15.860	4528.81
15.870	4534.17
15.880	4539.54
15.890	4544.91
15.900	4550.28
15.910	4555.65
15.920	4561.02
15.930	4566.40
15.940	4571.79
15.950	4577.17
15.960	4582.56
15.970	4587.95
15.980	4593.34
15.990	4598.74
16.000	4604.14
16.010	4609.54
16.020	4614.95
16.030	4620.36
16.040	4625.77
16.050	4631.18
16.060	4636.60
16.070	4642.02
16.080	4647.44
16.090	4652.87
16.100	4658.30
16.110	4663.73
16.120	4669.17
16.130	4674.61
16.140	4680.05
16.150	4685.49
16.160	4690.94
16.170	4696.39
16.180	4701.84
16.190	4707.30
16.200	4712.76
16.210	4718.22
16.220	4723.69
16.230	4729.15
16.240	4734.62
16.250	4740.10
16.260	4745.58
16.270	4751.06
16.280	4756.54
