x(m)	y(m)
778.23	3413.32
779.43	3417.95
780.64	3422.59
781.86	3427.23
783.07	3431.87
784.28	3436.51
785.50	3441.16
786.71	3445.81
787.93	3450.46
789.14	3455.11
790.36	3459.77
791.58	3464.43
792.80	3469.10
794.02	3473.76
795.24	3478.43
796.47	3483.10
797.69	3487.78
798.91	3492.46
800.14	3497.14
801.37	3501.82
802.60	3506.51
803.82	3511.19
805.05	3515.89
806.28	3520.58
807.52	3525.28
808.75	3529.98
809.98	3534.68
811.22	3539.38
812.45	3544.09
813.69	3548.80
814.93	3553.52
816.17	3558.23
817.41	3562.95
818.65	3567.67
819.89	3572.40
821.13	3577.13
822.38	3581.86
823.62	3586.59
824.87	3591.33
826.11	3596.06
827.36	3600.81
828.61	3605.55
829.86	3610.30
831.11	3615.05
832.36	3619.80
833.61	3624.56
834.87	3629.31
836.12	3634.07
837.38	3638.84
838.63	3643.60
839.89	3648.37
841.15	3653.15
842.41	3657.92
843.67	3662.70
844.93	3667.48
846.19	3672.26
847.46	3677.05
848.72	3681.84
849.99	3686.63
851.25	3691.42
852.52	3696.22
853.79	3701.02
855.06	3705.82
856.33	3710.63
857.60	3715.44
858.87	3720.25
860.15	3725.06
861.42	3729.88
862.70	3734.70
863.97	3739.52
865.25	3744.35
866.53	3749.17
867.81	3754.00
869.09	3758.84
870.37	3763.67
871.65	3768.51
872.94	3773.35
874.22	3778.20
875.51	3783.05
876.79	3787.90
878.08	3792.75
879.37	3797.61
880.66	3802.46
881.95	3807.33
883.24	3812.19
884.53	3817.06
885.83	3821.93
887.12	3826.80
888.42	3831.67
889.71	3836.55
891.01	3841.43
892.31	3846.32
893.61	3851.20
894.91	3856.09
896.21	3860.98
897.51	3865.88
898.81	3870.78
900.12	3875.68
901.42	3880.58
902.73	3885.48
904.04	3890.39
905.35	3895.30
906.66	3900.22
907.97	3905.14
909.28	3910.06
910.59	3914.98
911.90	3919.90
913.22	3924.83
914.53	3929.76
915.85	3934.70
917.17	3939.63
918.49	3944.57
919.81	3949.51
921.13	3954.46
922.45	3959.41
923.77	3964.36
925.09	3969.31
926.42	3974.27
927.74	3979.23
929.07	3984.19
930.40	3989.15
931.73	3994.12
933.06	3999.09
934.39	4004.06
935.72	4009.04
937.05	4014.02
938.39	4019.00
939.72	4023.98
941.06	4028.97
942.39	4033.96
943.73	4038.95
945.07	4043.94
946.41	4048.94
947.75	4053.94
949.09	4058.95
950.43	4063.95
951.78	4068.96
953.12	4073.97
954.47	4078.99
955.81	4084.01
957.16	4089.03
958.51	4094.05
959.86	4099.08
961.21	4104.10
962.56	4109.14
963.92	4114.17
965.27	4119.21
966.62	4124.25
967.98	4129.29
969.34	4134.34
970.70	4139.38
972.05	4144.43
973.41	4149.49
974.78	4154.55
976.14	4159.60
977.50	4164.67
978.86	4169.73
980.23	4174.80
981.60	4179.87
982.96	4184.94
984.33	4190.02
985.70	4195.10
987.07	4200.18
988.44	4205.27
989.81	4210.35
991.19	4215.44
992.56	4220.54
993.94	4225.63
995.31	4230.73
996.69	4235.83
998.07	4240.94
999.45	4246.04
1000.83	4251.15
1002.21	4256.27
1003.59	4261.38
1004.97	4266.50
1006.36	4271.62
1007.74	4276.74
1009.13	4281.87
1010.52	4287.00
1011.91	4292.13
1013.30	4297.27
1014.69	4302.40
1016.08	4307.55
1017.47	4312.69
1018.86	4317.84
1020.26	4322.98
1021.65	4328.14
1023.05	4333.29
1024.45	4338.45
1025.85	4343.61
1027.25	4348.77
1028.65	4353.94
1030.05	4359.11
1031.45	4364.28
1032.86	4369.45
1034.26	4374.63
1035.67	4379.81
1037.07	4384.99
1038.48	4390.18
1039.89	4395.37
1041.30	4400.56
1042.71	4405.75
1044.13	4410.95
1045.54	4416.15
1046.95	4421.35
1048.37	4426.55
1049.78	4431.76
1051.20	4436.97
1052.62	4442.19
1054.04	4447.40
1055.46	4452.62
1056.88	4457.85
1058.30	4463.07
1059.73	4468.30
1061.15	4473.53
1062.58	4478.76
1064.00	4484.00
1065.43	4489.24
1066.86	4494.48
1068.29	4499.72
1069.72	4504.97
1071.15	4510.22
1072.58	4515.47
1074.02	4520.73
1075.45	4525.99
1076.89	4531.25
1078.33	4536.51
1079.76	4541.78
1081.20	4547.05
1082.64	4552.32
1084.08	4557.60
1085.53	4562.88
1086.97	4568.16
1088.41	4573.44
1089.86	4578.73
1091.30	4584.02
1092.75	4589.31
1094.20	4594.61
1095.65	4599.91
1097.10	4605.21
1098.55	4610.51
1100.00	4615.82
1101.46	4621.13
1102.91	4626.44
